timestamp,kmax_cost,skype_cost,trks_cost
1477970600.0,802176.0,899046.0,624000.0
1477970610.0,796440.0,898884.0,624180.0
1477970620.0,786684.0,882684.0,618000.0
1477970630.0,773748.0,882306.0,615120.0
1477970640.0,789744.0,888138.0,615120.0
1477970650.0,796788.0,887058.0,615840.0
1477970660.0,802212.0,887058.0,624180.0
1477970670.0,801264.0,856386.0,637080.0
1477970680.0,822000.0,821556.0,637080.0
1477970690.0,817968.0,784242.0,598800.0
1477970700.0,812940.0,801144.0,590220.0
1477970710.0,804192.0,852120.0,582000.0
1477970720.0,824808.0,852444.0,572100.0
1477970730.0,826344.0,837972.0,584400.0
1477970740.0,809076.0,802224.0,586800.0
1477970750.0,815316.0,809244.0,586800.0
1477970760.0,815028.0,809244.0,586800.0
1477970770.0,825408.0,799254.0,591900.0
1477970780.0,810360.0,748386.0,588240.0
1477970790.0,793692.0,729378.0,562800.0
1477970800.0,798924.0,731106.0,562800.0
1477970810.0,808524.0,730890.0,562800.0
1477970820.0,798648.0,715662.0,563460.0
1477970830.0,791604.0,712044.0,564060.0
1477970840.0,771108.0,684990.0,548460.0
1477970850.0,761268.0,661878.0,548460.0
1477970860.0,760752.0,712962.0,537420.0
1477970870.0,764088.0,672840.0,537780.0
1477970880.0,786492.0,677592.0,538680.0
1477970890.0,785460.0,677592.0,494100.0
1477970900.0,786684.0,673272.0,490440.0
1477970910.0,781596.0,673272.0,488400.0
1477970920.0,771168.0,622188.0,487800.0
1477970930.0,770832.0,625644.0,485400.0
1477970940.0,765564.0,624996.0,477060.0
1477970950.0,769488.0,622890.0,490320.0
1477970960.0,771168.0,647136.0,471720.0
1477970970.0,786528.0,647136.0,471720.0
1477970980.0,810312.0,647406.0,475020.0
1477970990.0,796356.0,648324.0,461100.0
1477971000.0,809532.0,632016.0,454560.0
1477971010.0,807432.0,635256.0,458940.0
1477971020.0,787536.0,642114.0,458940.0
1477971030.0,788676.0,621324.0,461760.0
